Make,Model,Title,Price,Mileage,Year,Transmission,Fuel Type,Reviews,Rating,CO2 Emission,Engine Size,Color,Doors,Body Type,Distance
Kia,Ceed,Kia Ceed 1.5T GDi ISG 3 5dr,"£19,980","9,645",2022,Manual,Petrol,63,4.5,129 g/km,1.5 L,Grey,5,Hatchback,9 miles
Kia,XCeed,Kia XCeed 1.5T GDi ISG 3 5dr,"£20,980","10,153",2022,Manual,Petrol,63,4.5,141 g/km,1.5 L,Grey,5,Hatchback,9 miles
Peugeot,208,Peugeot 208 100kW GT Line 50kWh 5dr Auto,"£20,980","39,100",2020,Automatic,Electric,24,4.5,,,Blue,5,Hatchback,9 miles
Kia,Niro,Kia Niro 1.6 GDi PHEV 3 5dr DCT,"£21,480","26,021",2018,Automatic,Hybrid,1,4.5,29 g/km,1.6 L,White,5,Suv,9 miles
Kia,XCeed,Kia XCeed 1.5T GDi ISG 4 5dr,"£21,980","12,120",2022,Manual,Petrol,63,4.5,143 g/km,1.5 L,Black,5,Hatchback,9 miles
Kia,ProCeed,Kia ProCeed 1.5T GDi ISG GT-Line 5dr,"£21,980","11,037",2021,Manual,Petrol,63,4.5,131 g/km,1.5 L,Grey,5,Estate,9 miles
Volkswagen,T-Cross,Volkswagen T-Cross 1.5 TSI EVO R-Line 5dr DSG,"£23,780","14,411",2021,Automatic,Petrol,,,139 g/km,1.5 L,Other,5,Suv,9 miles
Kia,Niro,Kia Niro 1.6 GDi Hybrid 4 5dr DCT,"£23,980","25,703",2020,Automatic,Hybrid,1,4.5,100 g/km,1.6 L,Blue,5,Suv,9 miles
Kia,e-Niro,Kia e-Niro 150kW 4 64kWh 5dr Auto,"£29,780","15,125",2020,Automatic,Electric,1,4.5,,,Black,5,Suv,9 miles
Kia,e-Niro,Kia e-Niro 150kW 4 64kWh 5dr Auto,"£29,980","12,269",2020,Automatic,Electric,1,4.5,,,White,5,Suv,9 miles
Kia,e-Niro,Kia e-Niro 150kW 2 Long Range 64kWh 5dr Auto,"£30,480","2,924",2022,Automatic,Electric,1,4.5,,,Grey,5,Suv,9 miles
Kia,e-Niro,Kia e-Niro 150kW 4+ 64kWh 5dr Auto,"£32,980","12,950",2021,Automatic,Electric,1,4.5,,,Black,5,Suv,9 miles
Audi,Q5,Audi Q5 40 TDI Quattro Black Edition 5dr S Tronic,"£34,380","15,948",2020,Semiauto,Diesel,10,4.5,146 g/km,2.0 L,Black,5,Suv,9 miles
Jaguar,I-Pace,Jaguar I-Pace 294kW EV400 HSE 90kWh 5dr Auto,"£38,840","38,622",2019,Automatic,Electric,1,4.0,,,Grey,5,Suv,9 miles
Hyundai,i10,Hyundai i10 1.0 Go SE 5dr,"£9,980","23,680",2019,Manual,Petrol,58,4.0,117 g/km,1.0 L,Black,5,Hatchback,9 miles
Ford,Fiesta,Ford Fiesta 1.0 EcoBoost 140 ST-Line Black 3dr,"£10,595","30,867",2017,Manual,Petrol,373,4.0,104 g/km,1.0 L,Black,3,Hatchback,9 miles
Nissan,Qashqai,Nissan Qashqai 1.5 dCi N-Vision 5dr,"£12,935","51,230",2017,Manual,Diesel,100,4.5,99 g/km,1.5 L,Blue,5,Suv,9 miles
Vauxhall,Mokka X,Vauxhall Mokka X 1.4T ecoTEC Elite 5dr,"£13,280","11,277",2018,Manual,Petrol,32,4.5,150 g/km,1.4 L,White,5,Suv,9 miles
Lexus,CT,Lexus CT 200h 1.8 Luxury 5dr CVT Auto,"£17,150","61,000",2017,Automatic,Hybrid,7,4.5,94 g/km,1.8 L,White,5,Hatchback,9 miles
Lexus,CT,Lexus CT 200H 1.8 Luxury 5Dr Cvt,"£18,687","42,700",2018,Automatic,Hybrid,7,4.5,94 g/km,1.8 L,Grey,5,Hatchback,9 miles
Audi,Q3,Audi Q3 2.0T FSI Quattro S Line Plus 5dr S Tronic,"£20,495","35,899",2016,Semiauto,Petrol,12,4.5,161 g/km,2.0 L,Grey,5,Suv,9 miles
Honda,Jazz,Honda Jazz 1.5 i-MMD Hybrid SR 5dr eCVT,"£20,955","19,305",2021,Automatic,Hybrid,218,4.5,102 g/km,1.5 L,White,5,Hatchback,9 miles
Volvo,XC60,Volvo XC60 D5 [220] R DESIGN Lux Nav 5dr AWD Geartronic,"£22,395","29,784",2017,Semiauto,Diesel,16,4.5,149 g/km,2.4 L,Grey,5,Suv,9 miles
Lexus,CT,Lexus CT 200h 1.8 5dr CVT,"£23,995","6,072",2020,Automatic,Hybrid,7,4.5,119 g/km,1.8 L,Blue,5,Hatchback,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [without Nav],"£25,655","26,726",2020,Automatic,Hybrid,,,94 g/km,2.0 L,Black,5,Suv,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [without Nav],"£26,839","13,133",2020,Automatic,Hybrid,,,126 g/km,2.0 L,Red,5,Suv,9 miles
Mercedes-Benz,C-Class,Mercedes-Benz C-Class C300d AMG Line Premium 2dr 9G-Tronic,"£27,795","37,000",2019,Semiauto,Diesel,144,4.5,129 g/km,2.0 L,Blue,2,Coupe,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [Nav],"£28,850","13,030",2021,Automatic,Hybrid,,,125 g/km,2.0 L,Grey,0,Suv,9 miles
Lexus,RX,Lexus RX 450h 3.5 Luxury 5dr CVT,"£29,128","56,535",2018,Automatic,Hybrid,15,4.0,127 g/km,3.5 L,Black,5,Suv,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [without Nav],"£29,195","13,000",2020,Automatic,Hybrid,,,97 g/km,2.0 L,Grey,5,Suv,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [without Nav],"£29,250","15,940",2021,Automatic,Hybrid,,,121 g/km,2.0 L,Silver,5,Suv,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [without Nav],"£29,295","21,559",2021,Automatic,Hybrid,,,121 g/km,2.0 L,Green,5,Suv,9 miles
Lexus,UX,Lexus UX 250h 2.0 5dr CVT [Nav],"£29,497","9,088",2021,Automatic,Hybrid,,,120 g/km,2.0 L,Black,5,Suv,9 miles
Lexus,NX,"Lexus NX 300h 2.5 5dr CVT [8"" Nav]","£29,672","51,750",2020,Automatic,Hybrid,1,5.0,137 g/km,2.5 L,Black,5,Suv,9 miles
Lexus,ES,Lexus ES 300h 2.5 F-Sport 4dr CVT,"£29,899","39,145",2019,Automatic,Hybrid,,,106 g/km,2.5 L,Grey,4,Saloon,9 miles
Lexus,NX,Lexus NX 300h 2.5 Sport 5dr CVT [Premium Nav],"£29,995","30,090",2019,Automatic,Hybrid,1,5.0,135 g/km,2.5 L,Black,5,Suv,9 miles
Lexus,UX,Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],"£30,495","17,419",2020,Automatic,Hybrid,,,127 g/km,2.0 L,Blue,5,Suv,9 miles
Lexus,IS,Lexus IS 300h Takumi 4dr CVT Auto,"£31,295","21,050",2019,Automatic,Hybrid,28,4.5,109 g/km,2.5 L,Blue,4,Saloon,9 miles
Lexus,UX,Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],"£31,985","9,453",2020,Automatic,Hybrid,,,128 g/km,2.0 L,Black,5,Suv,9 miles
Lexus,NX,Lexus NX 300h 2.5 F-Sport 5dr CVT [Premium Pack/Leather],"£32,523","44,100",2020,Automatic,Hybrid,1,5.0,137 g/km,2.5 L,Black,5,Suv,9 miles
Lexus,ES,Lexus ES 300h 2.5 4dr CVT,"£32,950","20,365",2021,Automatic,Hybrid,,,125 g/km,2.5 L,Blue,4,Saloon,9 miles
Lexus,UX,Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],"£33,189","19,805",2021,Automatic,Hybrid,,,127 g/km,2.0 L,Grey,5,Suv,9 miles
Lexus,ES,Lexus ES 300h 2.5 4dr CVT,"£33,850","20,156",2021,Automatic,Hybrid,,,125 g/km,2.5 L,Black,4,Saloon,9 miles
Lexus,UX,Lexus UX 250h 2.0 F-Sport 5dr CVT [Nav],"£34,000","4,795",2021,Automatic,Hybrid,,,127 g/km,2.0 L,Grey,5,Suv,9 miles
Lexus,ES,Lexus ES 300h 2.5 4dr CVT,"£35,295","13,000",2022,Automatic,Hybrid,,,125 g/km,2.5 L,Blue,4,Saloon,9 miles
Lexus,NX,"Lexus NX 300h 2.5 5dr CVT [8"" Nav]","£36,250","12,415",2020,Automatic,Hybrid,1,5.0,137 g/km,2.5 L,Silver,5,Suv,9 miles
Lexus,RX,Lexus RX 450h 3.5 5dr CVT,"£36,450","24,756",2019,Automatic,Hybrid,15,4.0,134 g/km,3.5 L,Grey,5,Suv,9 miles
Lexus,ES,Lexus ES 300h 2.5 Takumi 4dr CVT,"£37,945","19,590",2021,Automatic,Hybrid,,,126 g/km,2.5 L,Black,4,Saloon,9 miles
Lexus,ES,Lexus ES 300h 2.5 F-Sport 4dr CVT,"£38,295","11,445",2021,Automatic,Hybrid,,,127 g/km,2.5 L,Black,4,Saloon,9 miles
Lexus,NX,"Lexus NX 300h 2.5 5dr CVT [8"" Nav]","£39,195","9,758",2021,Automatic,Hybrid,1,5.0,173 g/km,2.5 L,Grey,5,Suv,9 miles
Lexus,RX,Lexus RX 450h 3.5 5dr CVT [Premium pack],"£40,697","20,215",2020,Automatic,Hybrid,15,4.0,179 g/km,3.5 L,Grey,5,Suv,9 miles
