make,model,title,price,mileage,year,transmission,fuel_type,reviews,rating,color,doors,body_type,distance
Ford,Fiesta,Ford Fiesta 1.25 Style + 3dr,2990,102000,2009,Manual,Petrol,373.0,4.0,Blue,3,Hatchback,9 miles
Audi,TT,Audi TT 1.8T Roadster 2dr,2990,94000,2004,Manual,Petrol,51.0,4.0,Black,2,Convertible,9 miles
Mercedes-Benz,CLK,Mercedes-Benz CLK 1.8 CLK200 Kompressor Avantgarde 2dr,2990,96000,2004,Automatic,Petrol,33.0,4.5,Silver,2,Coupe,9 miles
Honda,Civic,Honda Civic 1.8 i-VTEC Type S 3dr,2990,110000,2007,Manual,Petrol,184.0,4.5,Black,3,Hatchback,9 miles
Volkswagen,Fox,Volkswagen Fox 1.2 6V Euro 4 3dr,2990,43000,2007,Manual,Petrol,6.0,4.5,Red,3,Hatchback,9 miles
Jaguar,X-Type,Jaguar X-Type 2.5 V6 Sport (AWD) 4dr,2990,103000,2007,Manual,Petrol,128.0,4.0,Blue,4,Saloon,9 miles
Mazda,MX-5,Mazda MX-5 1.8 2dr,2990,84000,2004,Manual,Petrol,62.0,4.0,Silver,2,Convertible,9 miles
Jaguar,X-Type,Jaguar X-Type 2.5 V6 SE (AWD) 4dr,2990,98000,2006,Manual,Petrol,128.0,4.0,Grey,4,Saloon,9 miles
Volkswagen,Fox,Volkswagen Fox 1.2 6V Urban Fox Euro 4 3dr,2990,65000,2010,Manual,Petrol,6.0,4.5,Yellow,3,Hatchback,9 miles
Hyundai,Terracan,Hyundai Terracan 2.9 CRTD 5dr,2990,93000,2005,Manual,Diesel,8.0,3.5,Silver,5,Suv,9 miles
Saab,9-3,Saab 9-3 1.9 TTiD Vector Sport Sportwagon Euro 4 5dr,2990,120000,2009,Manual,Diesel,119.0,4.5,Grey,5,Estate,9 miles
Vauxhall,Combo,Vauxhall Combo 1.3 CDTi 1700 16v Panel Van 3dr,2990,95000,2007,Manual,Diesel,4.0,4.0,White,3,Panel van,9 miles
Kia,Sportage,Kia Sportage 2.0 CRDi Titan 4WD 5dr,2990,111000,2009,Manual,Diesel,45.0,4.5,Black,5,Suv,9 miles
Renault,Kangoo,Renault Kangoo 1.6 16v Authentique 5dr,2990,105000,2007,Automatic,Petrol,14.0,4.5,N/a,5,Mpv,9 miles
Kia,Sportage,Kia Sportage 2.0 CRDi Titan 4WD 5dr,3290,105000,2008,Manual,Diesel,45.0,4.5,Silver,5,Suv,9 miles
Kia,Sorento,Kia Sorento 2.5 CRDi XE 5dr,3290,108000,2009,Manual,Diesel,32.0,4.5,Blue,5,Suv,9 miles
Vauxhall,Astra,Vauxhall Astra 1.7 CDTi Exclusiv Sports Tourer Euro 5 5dr,3290,110000,2012,Manual,Diesel,368.0,4.0,Silver,5,Estate,9 miles
Smart,fortwo,Smart fortwo 0.7 City Passion 3dr,3490,30000,2006,Automatic,Petrol,26.0,4.5,Silver,3,Hatchback,9 miles
Volkswagen,Caddy,Volkswagen Caddy 2.0 SDI PD C20 L1 Standard Roof 4dr,3490,115000,2007,Manual,Diesel,6.0,4.5,Blue,4,Panel van,9 miles
Renault,Kangoo,Renault Kangoo 1.6 16v Expression 5dr,3490,94000,2005,Automatic,Petrol,14.0,4.5,Green,5,Mpv,9 miles
Citroen,C3 Picasso,Citroen C3 Picasso 1.6 HDi Airdream + Euro 5 5dr,3490,68000,2010,Manual,Diesel,36.0,4.5,Silver,5,Mpv,9 miles
Kia,Sportage,Kia Sportage 2.0 CRDi XS 4WD 5dr,3490,90000,2009,Manual,Diesel,45.0,4.5,Silver,5,Suv,9 miles
Volkswagen,Beetle,Volkswagen Beetle 1.6 Luna Cabriolet Euro 4 2dr,3490,72000,2007,Manual,Petrol,10.0,4.0,Silver,2,Convertible,9 miles
Hyundai,ix35,Hyundai ix35 2.0 Style Euro 5 5dr,3590,122000,2010,Manual,Petrol,13.0,4.5,White,5,Suv,9 miles
Citroen,Berlingo,Citroen Berlingo 1.6 HDi VT Multispace MPV Euro 4 5dr,3590,111000,2009,Manual,Diesel,47.0,4.0,Silver,5,Mpv,9 miles
Kia,Sorento,Kia Sorento 2.5 CRDi XT 5dr,3690,101000,2008,Automatic,Diesel,32.0,4.5,Silver,5,Suv,9 miles
Vauxhall,Zafira,Vauxhall Zafira 1.8 16V Design Euro 5 5dr (SNav),3690,100000,2012,Manual,Petrol,160.0,4.0,Grey,5,Mpv,9 miles
