sales_title,url,location
Lexus RX 450h 3.5 5dr CVT [Premium pack],https://www.theaa.com/used-cars/cardetails/137-1983742,9 miles
BMW 3 Series M340i xDrive MHT 4dr Step Auto,https://www.theaa.com/used-cars/cardetails/137-2237240,9 miles
Lexus NX 300h 2.5 Takumi 5dr CVT [Pan roof],https://www.theaa.com/used-cars/cardetails/137-2230049,9 miles
Lexus RX 450h L 3.5 Takumi 5dr CVT,https://www.theaa.com/used-cars/cardetails/137-2244806,9 miles
Porsche Macan S 5dr PDK,https://www.theaa.com/used-cars/cardetails/137-2244810,9 miles
Lexus RX 450h L 3.5 5dr CVT [Premium pack],https://www.theaa.com/used-cars/cardetails/137-1746985,9 miles
Lexus RX 450h 3.5 5dr CVT [Premium pack],https://www.theaa.com/used-cars/cardetails/137-2185858,9 miles
Lexus RX 450h 3.5 F-Sport 5dr CVT,https://www.theaa.com/used-cars/cardetails/137-2177625,9 miles
Lexus RX 450h 3.5 F-Sport 5dr CVT,https://www.theaa.com/used-cars/cardetails/137-2126016,9 miles
Kia Soul Connect+ Crdi 5dr,https://www.theaa.com/used-cars/cardetails/14-3013713,9 miles
Ford Ka+ 1.2 Ti-vct Active Hatchback 5dr Petrol Manual Euro 6 (s/s) (85 P,https://www.theaa.com/used-cars/cardetails/14-2983158,9 miles
BMW 3 Series Ed 2.0 Sport 4dr,https://www.theaa.com/used-cars/cardetails/14-3013712,9 miles
Renault Captur T Line Tce 90 My18,https://www.theaa.com/used-cars/cardetails/14-3008271,9 miles
Ford Fiesta 1.0t Ecoboost St-line X Hatchback 3dr,https://www.theaa.com/used-cars/cardetails/14-3011379,9 miles
Ford Fiesta Titanium 1.0t Ecoboost 95ps,https://www.theaa.com/used-cars/cardetails/14-3008272,9 miles
Vauxhall Corsa 1.2 75 Se,https://www.theaa.com/used-cars/cardetails/14-2988432,9 miles
Vauxhall Corsa 1.2 75 Se,https://www.theaa.com/used-cars/cardetails/14-2999950,9 miles
Vauxhall Corsa 1.2 Se,https://www.theaa.com/used-cars/cardetails/14-2983162,9 miles
Vauxhall Crossland X 1.2 Se 5 Door Suv,https://www.theaa.com/used-cars/cardetails/14-2983167,9 miles
Vauxhall Grandland X X 1.2 Turbo Se 130ps S/s Euro 6 5 Door,https://www.theaa.com/used-cars/cardetails/14-3006298,9 miles
Vauxhall Corsa 1.2 Se Premium 75ps 5 Door,https://www.theaa.com/used-cars/cardetails/14-3003741,9 miles
Ford Focus 1.0 St-line Nav Ecoboost 125ps 5 Door,https://www.theaa.com/used-cars/cardetails/14-2996521,9 miles
Kia Stonic 4 Lsg 1.0 5dr Hatch,https://www.theaa.com/used-cars/cardetails/14-2996519,9 miles
Volkswagen Golf 1.6 Tdi Match 5dr,https://www.theaa.com/used-cars/cardetails/14-2973344,9 miles
Vauxhall Corsa 1.2 Sri Nav Premium Turbo,https://www.theaa.com/used-cars/cardetails/14-2978720,9 miles
Ford Focus 1.5d Tdci Zetec Nav 120ps Estate,https://www.theaa.com/used-cars/cardetails/14-3001000,9 miles
Kia Sportage 1.6 Crdi Isg 2 5dr,https://www.theaa.com/used-cars/cardetails/14-2996524,9 miles
Vauxhall Corsa 100ps Se Premium,https://www.theaa.com/used-cars/cardetails/14-2988433,9 miles
Renault KADJAR S-edition Tce 140,https://www.theaa.com/used-cars/cardetails/14-3008273,9 miles
Vauxhall Corsa 1.2t Se 100ps 5 Door,https://www.theaa.com/used-cars/cardetails/14-3003742,9 miles
Vauxhall Corsa 1.2t Sri Premium 100ps 5 Door,https://www.theaa.com/used-cars/cardetails/14-2999952,9 miles
Vauxhall Corsa 1.2t 100ps Sri Premium 5dr,https://www.theaa.com/used-cars/cardetails/14-3004365,9 miles
Ford Focus 1.0t Ecoboost St-line Hatchback 5dr Petrol Manual Euro 6 (s/s) (,https://www.theaa.com/used-cars/cardetails/14-2989494,9 miles
Vauxhall Combo Cargo L1 Spt 2300 1.5 (100ps) Td S/s Eu6.2,https://www.theaa.com/used-vans/cardetails/14-3013710,9 miles
Vauxhall Crossland 1.2t Se Nav Premium 130ps Suv,https://www.theaa.com/used-cars/cardetails/14-3005804,9 miles
Vauxhall Corsa 1.2t 100ps Elite Edition 5dr,https://www.theaa.com/used-cars/cardetails/14-2988434,9 miles
Volkswagen Tiguan 1.4 Tsi Se Estate,https://www.theaa.com/used-cars/cardetails/14-3001007,9 miles
Vauxhall Insignia 1.5 T 122ps Se Nav  5 Dr,https://www.theaa.com/used-cars/cardetails/14-2996516,9 miles
Nissan Qashqai N-connecta 1.3 Dig-t 160ps,https://www.theaa.com/used-cars/cardetails/14-3013711,9 miles
Nissan Qashqai 1.3dig-t N-connecta 5dr,https://www.theaa.com/used-cars/cardetails/14-3012984,9 miles
Ford Galaxy 2.0 Tdci Zetec,https://www.theaa.com/used-cars/cardetails/14-3012983,9 miles
Audi A1 A1 Sport 35 Tfsi 5dr,https://www.theaa.com/used-cars/cardetails/14-3005805,9 miles
Volkswagen Sharan 2.0 Se Bluemotion,https://www.theaa.com/used-cars/cardetails/14-2996529,9 miles
Mercedes-Benz A Class Amg Line 1.5  5dr Auto,https://www.theaa.com/used-cars/cardetails/14-2999947,9 miles
Toyota Corolla Design Vvt-i Hev 5dr Auto,https://www.theaa.com/used-cars/cardetails/14-3012349,9 miles
Vauxhall Corsa 7.4kw 136 Elite Nav 5dr,https://www.theaa.com/used-cars/cardetails/14-2999954,9 miles
Volkswagen Touran R-line 2.0 Tdi Bmt,https://www.theaa.com/used-cars/cardetails/14-3009080,9 miles
Vauxhall Corsa 7.4kw Ev 136ps Elite Nav Auto 5 Door,https://www.theaa.com/used-cars/cardetails/14-3006295,9 miles
Mercedes-Benz A Class 1.3 Amg Line Premium,https://www.theaa.com/used-cars/cardetails/14-3008275,9 miles
Volkswagen Touran 1.5 Tsi Evo Se Family Mpv 5dr Petrol Manual Euro 6 (s/s) (150 Ps,https://www.theaa.com/used-cars/cardetails/14-2985812,9 miles
Vauxhall Mokka 	-e Launch Edition Ev,https://www.theaa.com/used-cars/cardetails/14-2983164,9 miles
Ford Ka 1.3 Collection 3dr,https://www.theaa.com/used-cars/cardetails/6-2242567,9 miles
Ford Ka 1.3 3dr,https://www.theaa.com/used-cars/cardetails/6-2239842,9 miles
Ford Ka 1.3 Studio 3dr,https://www.theaa.com/used-cars/cardetails/6-2225988,9 miles
Citroen Xsara Picasso 1.6i Desire 5dr,https://www.theaa.com/used-cars/cardetails/6-2282715,9 miles
Peugeot 307 1.6 16v S 5dr,https://www.theaa.com/used-cars/cardetails/6-2277905,9 miles
Peugeot 206 1.4 HDi S 3dr (a/c),https://www.theaa.com/used-cars/cardetails/6-2274874,9 miles
Ford Ka 1.3 Studio 3dr,https://www.theaa.com/used-cars/cardetails/6-2274872,9 miles
MINI Hatch 1.6 Cooper Euro 4 3dr,https://www.theaa.com/used-cars/cardetails/6-2270045,9 miles
Renault Clio 1.2 Campus Sport 3dr,https://www.theaa.com/used-cars/cardetails/6-2264178,9 miles
BMW X5 3.0i Sport Auto 4WD Euro 3 5dr,https://www.theaa.com/used-cars/cardetails/6-2264188,9 miles
Ford Ka 1.3 Zetec Climate Two-Tone 3dr,https://www.theaa.com/used-cars/cardetails/6-2228985,9 miles
Vauxhall Astra 1.6i Active Plus 5dr,https://www.theaa.com/used-cars/cardetails/6-2277904,9 miles
Peugeot 207 1.4 S Euro 5 5dr (A/C),https://www.theaa.com/used-cars/cardetails/6-2274060,9 miles
Fiat Panda 1.1 Active 5dr,https://www.theaa.com/used-cars/cardetails/6-2263197,9 miles
SKODA Fabia 1.2 Comfort 5dr,https://www.theaa.com/used-cars/cardetails/6-2259499,9 miles
Ford Fusion 1.4 Zetec Climate 5dr,https://www.theaa.com/used-cars/cardetails/6-2253947,9 miles
Ford Ka 1.3 Zetec Climate 3dr,https://www.theaa.com/used-cars/cardetails/6-2252173,9 miles
Peugeot 207 1.4 16v S 3dr,https://www.theaa.com/used-cars/cardetails/6-2245934,9 miles
Vauxhall Tigra 1.4i 16v Exclusiv 2dr (a/c),https://www.theaa.com/used-cars/cardetails/6-2232408,9 miles
Renault Clio 1.4 16v Expression 3dr,https://www.theaa.com/used-cars/cardetails/6-2214053,9 miles
Ford Fiesta 1.4 Zetec Climate 5dr,https://www.theaa.com/used-cars/cardetails/6-2211704,9 miles
Renault Clio 1.2 16v Dynamique 3dr,https://www.theaa.com/used-cars/cardetails/6-2209203,9 miles
Nissan Note 1.4 16v SE 5dr,https://www.theaa.com/used-cars/cardetails/6-2208246,9 miles
Renault Laguna 2.0 dCi Privilege Nav 5dr,https://www.theaa.com/used-cars/cardetails/6-2199910,9 miles
Renault Scenic 1.9 dCi Dynamique 5dr (Non FAP),https://www.theaa.com/used-cars/cardetails/6-2199101,9 miles
Renault Scenic 1.5 dCi Expression Euro 4 5dr,https://www.theaa.com/used-cars/cardetails/6-2168112,9 miles
Ford Fusion 1.6 Zetec Climate 5dr,https://www.theaa.com/used-cars/cardetails/6-2150979,9 miles
Citroen Berlingo 1.6 HDi 600TD LX Panel Van 5dr (Euro 4),https://www.theaa.com/used-cars/cardetails/6-2282710,9 miles
Vauxhall Astra 1.6 VVT 16v Breeze 5dr,https://www.theaa.com/used-cars/cardetails/6-2280837,9 miles
Vauxhall Zafira 1.8 16V Life Euro 4 5dr,https://www.theaa.com/used-cars/cardetails/6-2275867,9 miles
Citroen Berlingo 1.9D 600D LX Panel Van 4dr,https://www.theaa.com/used-cars/cardetails/6-2263192,9 miles
Vauxhall Astra 1.6i 16v Life 5dr,https://www.theaa.com/used-cars/cardetails/6-2259509,9 miles
Ford Focus 1.6 Style 5dr,https://www.theaa.com/used-cars/cardetails/6-2282717,9 miles
Jaguar S-Type 3.0 V6 SE 4dr,https://www.theaa.com/used-cars/cardetails/6-2282702,9 miles
Citroen Xsara Picasso 1.6i 16V Exclusive 5dr,https://www.theaa.com/used-cars/cardetails/6-2282711,9 miles
Vauxhall Astra 1.8i 16v SRi 5dr,https://www.theaa.com/used-cars/cardetails/6-2282703,9 miles
MINI Hatch 1.6 Cooper Euro 3 3dr,https://www.theaa.com/used-cars/cardetails/6-2280833,9 miles
